name,version,ecosystem,license_declared,license_resolved,description,risk_classification,depended_on_by
objc,0.2.7,Rust,NOASSERTION,MIT,Objective-C runtime bindings,PERMISSIVE - OK,19
same-file,1.0.6,Rust,NOASSERTION,MIT OR Unlicense,Check if two file paths are the same file,PERMISSIVE - OK,19
six,1.17.0,Python,NOASSERTION,MIT,Python 2/3 compatibility utilities,PERMISSIVE - OK,19
utf16_iter,1.0.5,Rust,NOASSERTION,MIT OR Apache-2.0,UTF-16 code unit iterator,PERMISSIVE - OK,19
write16,1.0.0,Rust,NOASSERTION,MIT OR Apache-2.0,UTF-16 write trait,PERMISSIVE - OK,19
crunchy,0.2.4,Rust,NOASSERTION,MIT,Unroll loops at compile time,PERMISSIVE - OK,18
gdk-sys,0.18.2,Rust,NOASSERTION,MIT,FFI bindings to GDK (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,18
hmac,0.12.1,Rust,NOASSERTION,MIT OR Apache-2.0,HMAC message authentication code,PERMISSIVE - OK,18
rand_hc,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,HC-128 random number generator,PERMISSIVE - OK,18
rand_pcg,0.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,PCG random number generator,PERMISSIVE - OK,18
signature,2.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Traits for cryptographic signatures,PERMISSIVE - OK,18
tempfile,3.25.0,Rust,NOASSERTION,MIT OR Apache-2.0,Temporary file and directory creation,PERMISSIVE - OK,18
utf-8,0.7.6,Rust,NOASSERTION,MIT OR Apache-2.0,Incremental UTF-8 validation,PERMISSIVE - OK,18
walkdir,2.5.0,Rust,NOASSERTION,MIT OR Unlicense,Recursive directory traversal,PERMISSIVE - OK,18
winapi-util,0.1.11,Rust,NOASSERTION,MIT OR Unlicense,Windows API utility functions,PERMISSIVE - OK,18
async-trait,0.1.89,Rust,NOASSERTION,MIT OR Apache-2.0,Async functions in trait definitions,PERMISSIVE - OK,17
bindgen,0.69.5,Rust,NOASSERTION,BSD-3-Clause,Auto-generates Rust FFI bindings from C/C++ headers,PERMISSIVE - OK,17
click,8.3.1,Python,NOASSERTION,BSD-3-Clause,Command-line interface toolkit,PERMISSIVE - OK,17
dunce,1.0.5,Rust,NOASSERTION,CC0-1.0,Simplifies Windows UNC paths,PERMISSIVE - OK,17
half,2.7.1,Rust,NOASSERTION,MIT OR Apache-2.0,Half-precision (f16) floating point,PERMISSIVE - OK,17
native-tls,0.2.16,Rust,NOASSERTION,MIT OR Apache-2.0,Platform-native TLS (SChannel/SecureTransport/OpenSSL),PERMISSIVE - OK,17
nix,0.26.4,Rust,NOASSERTION,MIT,Unix/POSIX API bindings for Rust,PERMISSIVE - OK,17
pygments,2.19.2,Python,NOASSERTION,BSD-2-Clause,Syntax highlighting library,PERMISSIVE - OK,17
schannel,0.1.28,Rust,NOASSERTION,MIT,Windows SChannel TLS bindings,PERMISSIVE - OK,17
sha1_smol,1.0.1,Rust,NOASSERTION,BSD-3-Clause,Minimal SHA-1 implementation,PERMISSIVE - OK,17
try-lock,0.2.5,Rust,NOASSERTION,MIT,Lightweight non-blocking lock,PERMISSIVE - OK,17
windows,0.58.0,Rust,NOASSERTION,MIT OR Apache-2.0,Rust bindings for the Windows API,PERMISSIVE - OK,17
block-padding,0.3.3,Rust,NOASSERTION,MIT OR Apache-2.0,Block cipher padding schemes,PERMISSIVE - OK,16
crc-catalog,2.4.0,Rust,NOASSERTION,MIT OR Apache-2.0,CRC algorithm parameter catalog,PERMISSIVE - OK,16
crossbeam-epoch,0.9.18,Rust,NOASSERTION,MIT OR Apache-2.0,Epoch-based memory reclamation,PERMISSIVE - OK,16
encoding_rs,0.8.35,Rust,NOASSERTION,MIT OR Apache-2.0 OR BSD-3-Clause,Character encoding conversion (WHATWG standard),PERMISSIVE - OK,16
fdeflate,0.3.7,Rust,NOASSERTION,MIT OR Apache-2.0,Fast DEFLATE decompression,PERMISSIVE - OK,16
foreign-types-macros,0.2.3,Rust,NOASSERTION,MIT OR Apache-2.0,Macros for foreign type wrappers,PERMISSIVE - OK,16
gio,0.18.4,Rust,NOASSERTION,MIT,Safe Rust bindings for GIO (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,16
mime,0.3.17,Rust,NOASSERTION,MIT OR Apache-2.0,MIME type parsing and representation,PERMISSIVE - OK,16
mpmath,1.3.0,Python,NOASSERTION,BSD-3-Clause,Arbitrary-precision floating-point math,PERMISSIVE - OK,16
nvidia-nvjitlink-cu12,12.8.93,Python,NOASSERTION,NVIDIA Proprietary,NVIDIA JIT linker for CUDA 12,PROPRIETARY - review redistribution terms,16
toml_writer,1.0.6+spec-1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,TOML serialization writer,PERMISSIVE - OK,16
want,0.3.1,Rust,NOASSERTION,MIT,Signal when a value is wanted,PERMISSIVE - OK,16
atk-sys,0.18.2,Rust,NOASSERTION,MIT,FFI bindings to ATK accessibility (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,15
crc,3.4.0,Rust,NOASSERTION,MIT OR Apache-2.0,CRC checksum computation,PERMISSIVE - OK,15
crossbeam-deque,0.8.6,Rust,NOASSERTION,MIT OR Apache-2.0,Work-stealing deque for task scheduling,PERMISSIVE - OK,15
inout,0.1.4,Rust,NOASSERTION,MIT OR Apache-2.0,In-place buffer processing,PERMISSIVE - OK,15
mac,0.1.1,Rust,NOASSERTION,MIT OR Apache-2.0,Collection of useful macros,PERMISSIVE - OK,15
nvidia-cublas-cu12,12.8.4.1,Python,NOASSERTION,NVIDIA Proprietary,NVIDIA cuBLAS linear algebra for CUDA 12,PROPRIETARY - review redistribution terms,15
precomputed-hash,0.1.1,Rust,NOASSERTION,MIT,Pre-computed hash value wrapper,PERMISSIVE - OK,15
proc-macro-hack,0.5.20+deprecated,Rust,NOASSERTION,MIT OR Apache-2.0,Expression-position proc-macros (deprecated),PERMISSIVE - OK,15
profiling-procmacros,1.0.17,Rust,NOASSERTION,MIT OR Apache-2.0,Profiling instrumentation macros,PERMISSIVE - OK,15
python-dateutil,2.9.0.post0,Python,NOASSERTION,Apache-2.0 OR BSD-3-Clause,Date/time utility extensions,PERMISSIVE - OK,15
raw-window-handle,0.6.2,Rust,NOASSERTION,MIT OR Apache-2.0 OR Zlib,Cross-platform window handle types,PERMISSIVE - OK,15
redox_users,0.4.6,Rust,NOASSERTION,MIT,Redox OS user/group management,PERMISSIVE - OK,15
sympy,1.14.0,Python,NOASSERTION,BSD-3-Clause,Symbolic mathematics library,PERMISSIVE - OK,15
tokio-stream,0.1.18,Rust,NOASSERTION,MIT,Stream utilities for Tokio,PERMISSIVE - OK,15
webpki-roots,1.0.6,Rust,NOASSERTION,MPL-2.0,Mozilla CA root certificates for WebPKI,WEAK COPYLEFT (MPL) - file-level copyleft only,15
zune-core,0.4.12,Rust,NOASSERTION,MIT OR Apache-2.0 OR Zlib,Core traits for image decoding,PERMISSIVE - OK,15
torch,2.10.0,Python,NOASSERTION,BSD-3-Clause,PyTorch deep learning framework,PERMISSIVE - OK,12
react,18.3.1,npm,NOASSERTION,MIT,UI component library for building interfaces,PERMISSIVE - OK,3
react-dom,19.2.0,npm,NOASSERTION,MIT,React DOM renderer,PERMISSIVE - OK,3
zustand,5.0.8,npm,NOASSERTION,MIT,Lightweight React state management,PERMISSIVE - OK,1
better-sqlite3,11.10.0,npm,NOASSERTION,MIT,Synchronous SQLite3 bindings for Node.js,PERMISSIVE - OK,2
@types/node,18.19.130,npm,NOASSERTION,MIT,TypeScript type definitions for Node.js,PERMISSIVE - OK,6
typescript,5.9.3,npm,NOASSERTION,Apache-2.0,Typed superset of JavaScript,PERMISSIVE - OK,1
vite,7.2.2,npm,NOASSERTION,MIT,Next-generation frontend build tool,PERMISSIVE - OK,3
eslint,8.57.1,npm,NOASSERTION,MIT,Pluggable JavaScript linter,PERMISSIVE - OK,2
tailwindcss,4.1.18,npm,NOASSERTION,MIT,Utility-first CSS framework,PERMISSIVE - OK,3
lucide-react,0.552.0,npm,NOASSERTION,ISC,React icon library (Lucide icons),PERMISSIVE - OK,3
openai,6.7.0,npm,NOASSERTION,Apache-2.0,Official OpenAI API client,PERMISSIVE - OK,1
